MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Aísa","http://es.dbpedia.org/resource/Aísa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Abanto","http://es.dbpedia.org/resource/Abanto"
"http://opendata.aragon.es/recurso/territorio/Municipio/Abiego","http://es.dbpedia.org/resource/Abiego"
"http://opendata.aragon.es/recurso/territorio/Municipio/Abizanda","http://es.dbpedia.org/resource/Abizanda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Albalatillo","http://es.dbpedia.org/resource/Albalatillo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Adahuesca","http://es.dbpedia.org/resource/Adahuesca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Agüero","http://es.dbpedia.org/resource/Agüero"
"http://opendata.aragon.es/recurso/territorio/Municipio/Albelda","http://es.dbpedia.org/resource/Albelda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcampell","http://es.dbpedia.org/resource/Alcampell"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcubierre","http://es.dbpedia.org/resource/Alcubierre"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alfántega","http://es.dbpedia.org/resource/Alfántega"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alerre","http://es.dbpedia.org/resource/Alerre"
"http://opendata.aragon.es/recurso/territorio/Municipio/Almudévar","http://es.dbpedia.org/resource/Almudévar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Almuniente","http://es.dbpedia.org/resource/Almuniente"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alquézar","http://es.dbpedia.org/resource/Alquézar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Altorricón","http://es.dbpedia.org/resource/Altorricón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Angüés","http://es.dbpedia.org/resource/Angüés"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ansó","http://es.dbpedia.org/resource/Ansó"
"http://opendata.aragon.es/recurso/territorio/Municipio/Antillón","http://es.dbpedia.org/resource/Antillón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Arén","http://es.dbpedia.org/resource/Arén"
"http://opendata.aragon.es/recurso/territorio/Municipio/Argavieso","http://es.dbpedia.org/resource/Argavieso"
"http://opendata.aragon.es/recurso/territorio/Municipio/Arguis","http://es.dbpedia.org/resource/Arguis"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azanuy-Alins","http://es.dbpedia.org/resource/Azanuy-Alins"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ayerbe","http://es.dbpedia.org/resource/Ayerbe"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azara","http://es.dbpedia.org/resource/Azara"
"http://opendata.aragon.es/recurso/territorio/Municipio/Baells","http://es.dbpedia.org/resource/Baells"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azlor","http://es.dbpedia.org/resource/Azlor"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bailo","http://es.dbpedia.org/resource/Bailo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Baldellou","http://es.dbpedia.org/resource/Baldellou"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ballobar","http://es.dbpedia.org/resource/Ballobar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Banastás","http://es.dbpedia.org/resource/Banastás"
"http://opendata.aragon.es/recurso/territorio/Municipio/Barbastro","http://es.dbpedia.org/resource/Barbastro"
"http://opendata.aragon.es/recurso/territorio/Municipio/Barbués","http://es.dbpedia.org/resource/Barbués"
"http://opendata.aragon.es/recurso/territorio/Municipio/Barbuñales","http://es.dbpedia.org/resource/Barbuñales"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bárcabo","http://es.dbpedia.org/resource/Bárcabo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Benabarre","http://es.dbpedia.org/resource/Benabarre"
"http://opendata.aragon.es/recurso/territorio/Municipio/Benasque","http://es.dbpedia.org/resource/Benasque"
"http://opendata.aragon.es/recurso/territorio/Municipio/Berbegal","http://es.dbpedia.org/resource/Berbegal"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bielsa","http://es.dbpedia.org/resource/Bielsa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bierge","http://es.dbpedia.org/resource/Bierge"
"http://opendata.aragon.es/recurso/territorio/Municipio/Biescas","http://es.dbpedia.org/resource/Biescas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Binaced","http://es.dbpedia.org/resource/Binaced"
"http://opendata.aragon.es/recurso/territorio/Municipio/Binéfar","http://es.dbpedia.org/resource/Binéfar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bisaurri","http://es.dbpedia.org/resource/Bisaurri"
"http://opendata.aragon.es/recurso/territorio/Municipio/Biscarrués","http://es.dbpedia.org/resource/Biscarrués"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bonansa","http://es.dbpedia.org/resource/Bonansa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Boltaña","http://es.dbpedia.org/resource/Boltaña"
"http://opendata.aragon.es/recurso/territorio/Municipio/Camporrells","http://es.dbpedia.org/resource/Camporrells"
"http://opendata.aragon.es/recurso/territorio/Municipio/Borau","http://es.dbpedia.org/resource/Borau"
"http://opendata.aragon.es/recurso/territorio/Municipio/Broto","http://es.dbpedia.org/resource/Broto"
"http://opendata.aragon.es/recurso/territorio/Municipio/Caldearenas","http://es.dbpedia.org/resource/Caldearenas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Campo","http://es.dbpedia.org/resource/Campo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Candasnos","http://es.dbpedia.org/resource/Candasnos"
